,이층약국,"서울특별시 은평구 연서로 9, 2층 205(상가)호 (역촌동, 센타폴리스)",37.6001182,126.9156678,,,,,,,,
,한림약국,"서울특별시 강동구 성안로 149, 1층 (천호동)",37.5365899,127.1347213,,,,,,,,
,21세기상계약국,"서울특별시 노원구 동일로 1548, (상계동)",37.6666795,127.0576424,,,,,,,,
,정문약국,"전라남도 화순군 화순읍 서양로 313, (화순읍)",35.059973,127.000395,,,,,,,,
,알찬약국,"경기도 성남시 중원구 산성대로 382, 1층 (금광동)",37.44592,127.1579023,,,,,,,,
,삼성정문약국,"서울특별시 강남구 일원로 95, 109호 (일원동, 신영프라자)",37.485765,127.0834812,,,,,,,,
,동산약국,"서울특별시 노원구 동일로 1280, 1층 109호,110호 (중계동, 무지개아파트단지내상가)",37.6434962,127.0657409,,,,,,,,
,서울숲약국,"서울특별시 성동구 독서당로 336, 리버마이다스빌 2층 207호 (금호동4가)",37.5477337,127.0264487,,,,,,,,
,행복약국,"서울특별시 동작구 등용로 115, 101호 (대방동, 엘리시아빌딩)",37.5114623,126.9317563,,,,,,,,
,논현이화약국,"인천광역시 남동구 논고개로 101, 505-1호 (논현동, 아름다운타워)",37.4000007,126.7243667,,,,,,,,
,힘찬약국,"경기도 성남시 중원구 희망로 316, 1층 (상대원동)",37.4344042,127.1591729,,,,,,,,
,부자약국,"서울특별시 서대문구 홍은중앙로 91, 1층 (홍은동)",37.5992239,126.9475551,,,,,,,,
,경희약국,"울산광역시 남구 번영로 109, 106호 (달동)",35.53515,129.328588,,,,,,,,
,한독큰약국,"광주광역시 서구 풍암순환로 183, 117동 2층 211-1호 (풍암동, 우미광장아파트)",35.1268362,126.8812499,,,,,,,,
,로타리약국,"부산광역시 부산진구 중앙대로 613, (범천동)",35.1475615,129.0586309,,,,,,,,
,면목이화온누리약국,"서울특별시 중랑구 겸재로 201, 1층 (면목동, 봄작시티 201)",37.5891469,127.090038,,,,,,,,
,참약사 더봄약국,"경상북도 구미시 송정대로 34, 1층 (송정동)",36.1173322,128.3426075,,,,,,,,
,햇님약국,"부산광역시 금정구 중앙대로1685번길 15, 1층 (부곡동)",35.2348348,129.0909076,,,,,,,,
,금성당약국,"부산광역시 기장군 철마면 여락송정로 334, 금성당약국",35.3047544,129.1124805,,,,,,,,
,한시까지약국,"서울특별시 영등포구 영등포로 250-1, (영등포동3가)",37.5188312,126.9091128,,,,,,,,
,새동해약국,"경상북도 포항시 남구 중앙로122번길 29, (해도동)",36.0245812,129.3715131,,,,,,,,
,통영항약국,"경상남도 통영시 새터길 15, (도천동, 성모의원)",34.8408406,128.4176827,,,,,,,,
,행복약국,"인천광역시 계양구 장제로 1004, 107호 (박촌동, 계양한양수자인)",37.5547854,126.7463043,,,,,,,,
,미소현약국,"서울특별시 서초구 강남대로 521-4, 태영빌딩 1층 102호 (반포동)",37.5085086,127.0221477,,,,,,,,
,호약국,"경기도 부천시 원미구 부흥로373번길 6, 1층 (심곡동)",37.491807,126.7833033,,,,,,,,
,디오션약국,"전북특별자치도 군산시 궁포1로 24-9, 엔비빌딩 1층 (조촌동)",35.9761414,126.7405298,,,,,,,,
,가산소중한약국,"서울특별시 금천구 디지털로9길 68, 대륭포스트타워 5차 1층 106호 (가산동)",37.4810217,126.8863307,,,,,,,,
,늘봄약국,"경기도 안산시 상록구 도매시장로 32, (이동, 2층 일부)",37.309605,126.8591248,,,,,,,,
,리본약국,"서울특별시 강남구 도산대로 138, (논현동)",37.5174754,127.0238282,,,,,,,,
,기장메디칼약국,"부산광역시 기장군 기장읍 읍내로 116, 1층",35.2449069,129.2170665,,,,,,,,
,하얀약국,"서울특별시 관악구 난곡로 327-1, 1층 (신림동)",37.4833043,126.9139652,,,,,,,,
,보리약국,"전라남도 순천시 중앙5길 5, 보리약국 (장천동)",34.9520147,127.4845414,,,,,,,,
,마음약국,"서울특별시 동대문구 왕산로 183, 1층 (청량리동)",37.5799292,127.0435913,,,,,,,,
,시장약국,"강원특별자치도 정선군 정선읍 비봉로 52-1, (정선읍)",37.3810521,128.6640982,,,,,,,,
,서현약국,"경기도 성남시 분당구 중앙공원로39번길 49, 서현 지엔느 106호 (서현동)",37.3837934,127.1247778,,,,,,,,
,가비약국,"대구광역시 수성구 동대구로 86, 1층 101호 (지산동)",35.8378001,128.6246499,,,,,,,,
,모두온누리약국,"서울특별시 관악구 남부순환로 1869, 1층 (봉천동)",37.4798287,126.9575645,,,,,,,,
,이화약국,"경기도 안성시 죽산면 죽주로 226-1, (죽산면)",37.0739069,127.4206077,,,,,,,,
,새봄약국,"서울특별시 송파구 풍성로 55, 1층 (풍납동)",37.5339811,127.1186881,,,,,,,,
,365그랜드약국,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",37.4558772,126.9017344,,,,,,,,
,스마일약국,"경기도 용인시 기흥구 마북로154번길 3, 테라스가든 B빌딩 202-2호 (마북동)",37.3037362,127.1240106,,,,,,,,
,라온약국,"전북특별자치도 군산시 월명로 219, 1층 (수송동)",35.9636742,126.71513,,,,,,,,
,아이사랑약국,"전라남도 나주시 문화로 216, 101~102호 (빛가람동)",35.0177883,126.7851801,,,,,,,,
,모아약국,"경기도 안산시 단원구 원초로 30, 3층 302호 (원곡동, 보성프라자)",37.3283895,126.8017332,,,,,,,,
,로데오약국,"경기도 파주시 금릉역로 84, 청원센트럴타워 101호 (금촌동)",37.7521117,126.765954,,,,,,,,
,보성약국,"경기도 남양주시 와부읍 덕소로97번길 7, 1층",37.5860408,127.2128471,,,,,,,,
,법원천하약국,"경기도 파주시 법원읍 술이홀로 873, 102호",37.8492818,126.8726287,,,,,,,,
